longitude,latitude,wind_speed
12.0,-3.0,0.6817240697828306
12.0,3.0,0.9321261025551507
12.0,6.0,0.6646379238716159
12.0,9.0,1.3449513120568177
12.0,12.0,1.9350429221836116
12.0,15.0,3.4740070882427982
12.0,18.0,2.302411956109158
12.0,21.0,2.92794290711579
12.0,24.0,2.2591042988491363
12.0,27.0,2.0992258773522083
12.0,30.0,1.8299047682399416
12.0,42.0,1.0170177493945733
12.0,45.0,1.1391075886001658
12.0,48.0,1.1041248988553811
12.0,51.0,1.7710978312898293
12.0,54.0,2.0487043875839177
12.0,60.0,0.7047549138358392
12.0,63.0,1.2495203110871687
15.0,-90.0,3.7430053565234993
15.0,-87.0,5.512178068550191
15.0,-84.0,4.571303774340939
15.0,-81.0,7.038010352970112
15.0,-78.0,5.219421892417864
15.0,-75.0,3.59817274998545
15.0,-72.0,9.233678351076026
15.0,-24.0,1.881292792225688
15.0,-21.0,1.6116595121338202
15.0,-18.0,1.52160899923725
15.0,-15.0,0.778604441939661
15.0,-12.0,0.6399194846739267
15.0,-9.0,0.7827378318981207
15.0,-6.0,1.1814341061768603
15.0,-3.0,1.0691034984624983
15.0,3.0,0.5847569455881471
15.0,6.0,0.739276635945901
15.0,9.0,1.1694277970863418
15.0,12.0,2.023137628691722
15.0,15.0,3.98205091073543
15.0,18.0,2.1392339955306725
15.0,21.0,2.634987027164262
15.0,24.0,3.1193332675224004
15.0,27.0,2.1061708078675614
15.0,30.0,1.570803573194392
15.0,42.0,1.360461716681047
15.0,45.0,0.868024968760705
15.0,48.0,1.0382197729644176
15.0,51.0,1.6276598259512776
15.0,54.0,2.3403841173982007
15.0,57.0,1.0005435739499944
15.0,60.0,0.8803026035404602
15.0,63.0,0.7352837248525002
15.0,66.0,0.9010464408572836
15.0,78.0,1.1459699209214207
18.0,-90.0,3.7430053565234993
18.0,-87.0,5.522383671814197
18.0,-84.0,4.86683652529486
18.0,-81.0,7.11983662916487
18.0,-78.0,4.892760018690231
